CIDER DB	Source	Source_ID		OrchardDB v0.1	Source
Condylura cristata	NCBI	Refseq	FALSE		
Corvus cornix cornix	NCBI	Refseq	FALSE		
Culex nigripalpus nucleopolyhedrovirus	NCBI	Refseq	FALSE		
Cynoglossus semilaevis	NCBI	Refseq	FALSE		
Diaphorina citri	NCBI	Refseq	FALSE		
Ectocarpus siliculosus virus 1	NCBI	Refseq	FALSE		
Elaeis guineensis	NCBI	Refseq	FALSE		
Elephantulus edwardii	NCBI	Refseq	FALSE		
Eptesicus fuscus	NCBI	Refseq	FALSE		
Equus przewalskii	NCBI	Refseq	FALSE		
Esox lucius	NCBI	Refseq	FALSE		
Falco cherrug	NCBI	Refseq	FALSE		
Falco peregrinus	NCBI	Refseq	FALSE		
Feldmannia species virus	NCBI	Refseq	FALSE		
Fopius arisanus	NCBI	Refseq	FALSE		
Galeopterus variegatus	NCBI	Refseq	FALSE		
Haliaeetus albicilla	NCBI	Refseq	FALSE		
Haplochromis burtoni	NCBI	Refseq	FALSE		
Heliothis virescens ascovirus 3e	NCBI	Refseq	FALSE		
Hydra vulgaris	NCBI	Refseq	FALSE		
Larimichthys crocea	NCBI	Refseq	FALSE		
Leptonychotes weddellii	NCBI	Refseq	FALSE		
Lipotes vexillifer	NCBI	Refseq	FALSE		
Lymphocystis disease virus - isolate China	NCBI	Refseq	FALSE		
Mamestra configurata nucleopolyhedrovirus A	NCBI	Refseq	FALSE		
Maylandia zebra	NCBI	Refseq	FALSE		
Megachile rotundata	NCBI	Refseq	FALSE		
Melopsittacus undulatus	NCBI	Refseq	FALSE		
Metaseiulus occidentalis	NCBI	Refseq	FALSE		
Microplitis demolitor	NCBI	Refseq	FALSE		
Mollivirus sibericum	NCBI	Refseq	FALSE		
Musca domestica	NCBI	Refseq	FALSE		
Myotis brandtii	NCBI	Refseq	FALSE		
Myotis davidii	NCBI	Refseq	FALSE		
Nelumbo nucifera	NCBI	Refseq	FALSE		
Neolamprologus brichardi	NCBI	Refseq	FALSE		
Nicotiana sylvestris	NCBI	Refseq	FALSE		
Nicotiana tomentosiformis	NCBI	Refseq	FALSE		
Notothenia coriiceps	NCBI	Refseq	FALSE		
Odobenus rosmarus	NCBI	Refseq	FALSE		
Orcinus orca	NCBI	Refseq	FALSE		
Orycteropus afer afer	NCBI	Refseq	FALSE		
Panthera tigris altaica	NCBI	Refseq	FALSE		
Physeter catodon	NCBI	Refseq	FALSE		
Pithovirus sibericum	NCBI	Refseq	FALSE		
Poecilia reticulata	NCBI	Refseq	FALSE		
Populus euphratica	NCBI	Refseq	FALSE		
Prunus mume	NCBI	Refseq	FALSE		
Pseudopoces humilis	NCBI	Refseq	FALSE		
Pteropus alecto	NCBI	Refseq	FALSE		
Pundamilia nyererei	NCBI	Refseq	FALSE		
Pyrus x bretschneideri	NCBI	Refseq	FALSE		
Python bivittatus	NCBI	Refseq	FALSE		
Serinus canaria	NCBI	Refseq	FALSE		
Sesamum indicum	NCBI	Refseq	FALSE		
Stegastes partitus	NCBI	Refseq	FALSE		
Tarenaya hassleriana	NCBI	Refseq	FALSE		
Trichechus manatus latirostris	NCBI	Refseq	FALSE		
Tupaia chinensis	NCBI	Refseq	FALSE		
Ursus maritimus	NCBI	Refseq	FALSE		
Wiseana iridescent virus	NCBI	Refseq	FALSE		
Xenopus laevis	NCBI	Refseq	FALSE		
Zonotrichia albicollis	NCBI	Refseq	FALSE		
Thraustotheca clavata	other	 Ian Misner	FALSE		
Picea abies	other	Congenie	FALSE		
Primula veris	other	datadryad	FALSE		
Lytechinus variegatus	other	Echinobase	FALSE		
Patiria miniata	other	Echinobase	FALSE		
Clonorchis sinensis	other	FlukeDB	FALSE		
Calcarisporiella thermophila	other	fungalgenomics.ca	FALSE		
Malbranchea cinnamomea	other	fungalgenomics.ca	FALSE		
Myceliophthora fergusii	other	fungalgenomics.ca	FALSE		
Myceliophthora sepedonium	other	fungalgenomics.ca	FALSE		
Myriococcum thermophilum	other	fungalgenomics.ca	FALSE		
Oculimacula yallundae	other	fungalgenomics.ca	FALSE		
Rasamsonia byssochlamydoides	other	fungalgenomics.ca	FALSE		
Rhizomucor pusillus	other	fungalgenomics.ca	FALSE		
Scytalidium thermophilum	other	fungalgenomics.ca	FALSE		
Thermoascus crustaceus	other	fungalgenomics.ca	FALSE		
Thermomyces dupontii	other	fungalgenomics.ca	FALSE		
Thielavia australiensis	other	fungalgenomics.ca	FALSE		
Lachancea kluyveri	other	genolevures	FALSE		
Pichia sorbitophila	other	genolevures	FALSE		
Bos grunniens	other	GigaDB	FALSE		
Cajanus cajan	other	GigaDB	FALSE		
Camponotus floridanus	other	GigaDB	FALSE		
Citrullus lanatus	other	GigaDB	FALSE		
Geospiza fortis	other	GigaDB	FALSE		
Nanorana parkeri	other	GigaDB	FALSE		
Pantholops hodgsonii	other	GigaDB	FALSE		
Schistosoma haematobium	other	GigaDB	FALSE		
Vaccinium corymbosum	other	GigaDB	FALSE		
Hyphochytrium catenoides	other	Guy Leonard	FALSE		
Hyphochytrium catenoides old	other	Guy Leonard	FALSE		
Castanea mollissima	other	hardwoodgenomics	FALSE		
Achlya hypogyna	other	Ian Misner	FALSE		
Citrullus lanatus subsp. Vulgaris	other	icugi.org	FALSE		
Rhodosporidium toruloides MTCC 457	other	IMTECH	FALSE		
Blastocladiella emersonii	other	InHouse	FALSE		
Mastigamoeba balamuthi	other	JanTachezy	FALSE		
Saccoglossus kowalevskii	other	JGI	FALSE		
Jatropha curcas	other	kazusa.or.jp	FALSE		
Klebsormidium flaccidum	other	KlebGP	FALSE		
Cucumis melo L.	other	melonomics	FALSE		
Plutella xylostella	other	MothDB	FALSE		
Lachancea waltii	other	Nature	FALSE		
Phyllostachys edulis	other	ncgr.cn	FALSE		
Azadirachta indica	other	neemgdb	FALSE		
Cicer arietinum L.	other	nipgr.res.in	FALSE		
Pyropia yezoensis	other	NoriDB	FALSE		
Acropora digitifera	other	OISTMarine	FALSE		
Pinctada fucata	other	OISTMarine	FALSE		
Symbiodinium minutum	other	OISTMarine	FALSE		
Bathycoccus prasinos	other	OrcAE	FALSE		
Catharanthus roseus	other	OrcAE	FALSE		
Ectocarpus siliculosus	other	OrcAE	FALSE		
Paramecium biaurelia	other	ParameciumDB_Fin	FALSE		
Paramecium caudatum	other	ParameciumDB_Fin	FALSE		
Paramecium multimicronucleatum	other	ParameciumDB_Fin	FALSE		
Paramecium primaurelia	other	ParameciumDB_Fin	FALSE		
Paramecium sexaurelia	other	ParameciumDB_Fin	FALSE		
Arachis duranensis	other	peanutbase	FALSE		
Arachis ipaensis	other	peanutbase	FALSE		
Capsicum annuum	other	PepperGenome	FALSE		
Capsicum annuum L.	other	PepperSequence	FALSE		
Capsicum annuum var. glabriusculum	other	PepperSequence	FALSE		
Acanthisitta chloris	other	phybirds	FALSE		
Alligator mississippiensis	other	phybirds	FALSE		
Apaloderma vittatum	other	phybirds	FALSE		
Aptenodytes forsteri	other	phybirds	FALSE		
Balearica regulorum gibbericeps	other	phybirds	FALSE		
Buceros rhinoceros silvestris	other	phybirds	FALSE		
Calypte anna	other	phybirds	FALSE		
Caprimulgus carolinensis	other	phybirds	FALSE		
Cariama cristata	other	phybirds	FALSE		
Cathartes aura	other	phybirds	FALSE		
Chaetura pelagica	other	phybirds	FALSE		
Charadrius vociferus	other	phybirds	FALSE		
Chelonia mydas	other	phybirds	FALSE		
Chlamydotis undulata macqueenii	other	phybirds	FALSE		
Colius striatus	other	phybirds	FALSE		
Corvus brachyrhynchos	other	phybirds	FALSE		
Cuculus canorus	other	phybirds	FALSE		
Egretta garzetta	other	phybirds	FALSE		
Eurypyga helias	other	phybirds	FALSE		
Fulmarus glacialis	other	phybirds	FALSE		
Gavia stellata	other	phybirds	FALSE		
Haliaeetus leucocephalus	other	phybirds	FALSE		
Leptosomus discolor	other	phybirds	FALSE		
Manacus vitellinus	other	phybirds	FALSE		
Merops nubicus	other	phybirds	FALSE		
Mesitornis unicolor	other	phybirds	FALSE		
Nestor notabilis	other	phybirds	FALSE		
Nipponia nippon	other	phybirds	FALSE		
Opisthocomus hoazin	other	phybirds	FALSE		
Pelecanus crispus	other	phybirds	FALSE		
Phaethon lepturus	other	phybirds	FALSE		
Phalacrocorax carbo	other	phybirds	FALSE		
Phoenicopterus ruber	other	phybirds	FALSE		
Picoides pubescens	other	phybirds	FALSE		
Podiceps cristatus	other	phybirds	FALSE		
Pterocles gutturalis	other	phybirds	FALSE		
Pygoscelis adeliae	other	phybirds	FALSE		
Struthio camelus	other	phybirds	FALSE		
Tauraco erythrolophus	other	phybirds	FALSE		
Tinamus guttatus	other	phybirds	FALSE		
Tyto alba	other	phybirds	FALSE		
Lotus japonicus	other	PlantGDB	FALSE		
Podospora anserina	other	PodosporaDB	FALSE		
Phoenix dactylifera	other	qatar_cornell	FALSE		
Malawimonas jakobiformis	other	RomainDerelle	FALSE		
Calliarthron tuberculosum	other	Rutgers	FALSE		
Cyanophora paradoxa	other	Rutgers	FALSE		
Porphyridium purpureum	other	Rutgers	FALSE		
Saccharomyces bayanus var. uvarum	other	saccharomycessensust	FALSE		
Saccharomyces kudriavzevii ZP591	other	saccharomycessensust	FALSE		
Saccharomyces mikatae	other	saccharomycessensust	FALSE		
Saccharomyces paradoxus	other	saccharomycessensust	FALSE		
Trichuris muris	other	Sanger	FALSE		
Nicotiana benthamiana	other	solgenomics	FALSE		
Solanum pimpinellifolium	other	solgenomics	FALSE		
Taenia solium	other	TaeniaDB	FALSE		
Eutrema parvulum	other	thellungiella.org	FALSE		
Pinus taeda	other	UCDavis	FALSE		
Monocercomonoides sp. PA	other	VladaHampl	FALSE		
Blechomonas ayalai	other	WireduBoakyeDominic	FALSE		
Crithidia fasciculata	other	WireduBoakyeDominic	FALSE		
Cytauxzoon felis	other	WireduBoakyeDominic	FALSE		
Endotrypanum monterogeii	other	WireduBoakyeDominic	FALSE		
Eriocheir sinensis	other	WireduBoakyeDominic	FALSE		
Glossina morsitans	other	WireduBoakyeDominic	FALSE		
Nucleospora salmonis	other	WireduBoakyeDominic	FALSE		
Oncorhynchus mykiss	other	WireduBoakyeDominic	FALSE		
Saccharomyces bayanus	other	YGDB	FALSE		
Saccharomyces castellii	other	YGDB	FALSE		
Rhizomucor miehei	other	Zhengqiang_Jiang	FALSE		
					
					
