CIDER DB	Source	Source_ID		OrchardDB v0.1	Source
			FALSE	Cutaneotrichosporon oleaginosus	
			FALSE	Cyberlindnera fabianii	
			FALSE	Cytidiella melzeri	
			FALSE	Cytidiella melzeri FP 102339	
			FALSE	Cytospora chrysosperma CFL2056	
			FALSE	Dactylellina haptotyla CBS 200.50	
			FALSE	Daucus carota	
			FALSE	Debaryomyces fabryi	
			FALSE	Diaporthe ampelina	
			FALSE	Dichotomocladium elegans	
			FALSE	Dichotomocladium elegans RSA 919-	
			FALSE	Dictyostelium lacteum	
			FALSE	Didymocrea sadasivanii	
			FALSE	Didymocrea sadasivanii CBS 438.65	
			FALSE	Dimargaris cristalligena RSA 468 single-cell	
			FALSE	Dioscorea rotundata	
			FALSE	Diplodia corticola	
			FALSE	Drechmeria coniospora	
			FALSE	Drechslerella stenobrocha 248	
			FALSE	Dunaliella salina	
			FALSE	Earliella scabrosa CIRM-BRFM 1817	
			FALSE	Eimeria tenella strain Houghton	
			FALSE	Emergomyces pasteuriana Ep9510	
			FALSE	Emmonsia crescens UAMH 3008	
			FALSE	Emmonsia parva UAMH 139	
			FALSE	Emmonsia sp. CAC-2015a	
			FALSE	Encephalitozoon cuniculi EC1	
			FALSE	Encephalitozoon cuniculi EC2	
			FALSE	Encephalitozoon cuniculi EC3	
			FALSE	Encephalitozoon cuniculi EcunIII-L	
			FALSE	Entamoeba histolytica HM-1:IMSS-A	
			FALSE	Entamoeba histolytica HM-1:IMSS-B	
			FALSE	Entamoeba histolytica HM-3:IMSS	
			FALSE	Entamoeba histolytica KU27	
			FALSE	Entamoeba moshkovskii	
			FALSE	Enterocytozoon hepatopenaei	
			FALSE	Eremothecium gossypii FDAG1	
			FALSE	Eremothecium sinecaudum	
			FALSE	Erysiphe necator	
			FALSE	Erysiphe necator c	
			FALSE	Escovopsis weberi	
			FALSE	Exobasidium maculosum A7-4	
			FALSE	Exophiala alcalophila ATCC 48519	
			FALSE	Exophiala alcalophila J33	
			FALSE	Fennellomyces sp.	
			FALSE	Fennellomyces sp. T-0311	
			FALSE	Fomes fomentarius	
			FALSE	Fomes fomentarius CIRM-BRFM 1821	
			FALSE	Fomitiporia mediterranea MF3/22	
			FALSE	Fomitopsis betulina CIRM-BRFM 1772	
			FALSE	Fonsecaea erecta	
			FALSE	Fonsecaea monophora	
			FALSE	Fonsecaea monophora CBS 269.37	
			FALSE	Fonsecaea nubica	
			FALSE	Fonsecaea nubica CBS 269.64	
			FALSE	Fusarium culmorum	
			FALSE	Fusarium langsethiae	
			FALSE	Fusarium mangiferae	
			FALSE	Fusarium oxysporum f. sp. Conglutinans race 2 54008	
			FALSE	Fusarium oxysporum f. sp. Cubense Race 1	
			FALSE	Fusarium oxysporum f. sp. Cubense Race 4	
			FALSE	Fusarium oxysporum f. sp. cubense tropical race 4 54006	
			FALSE	Fusarium oxysporum f. sp. lycopersici 4287	
			FALSE	Fusarium oxysporum f. sp. pisi	
			FALSE	Fusarium oxysporum f. sp. radicis-lycopersici	
			FALSE	Fusarium oxysporum f. sp. raphani	
			FALSE	Fusarium oxysporum f. sp. vasinfectum	
			FALSE	Fusarium oxysporum FOSC 3-a	
			FALSE	Fusarium oxysporum FOX64	
			FALSE	Fusarium proliferatum	
			FALSE	Fusarium proliferatum ET1	
			FALSE	Fusarium redolens	
			FALSE	Fusarium redolens A4	
			FALSE	Fusarium solani	
			FALSE	Gelasinospora tetrasperma	
			FALSE	Geotrichum candidum	
			FALSE	Giardia intestinalis assemblage_B	
			FALSE	Giardia intestinalis ATCC 50581	
			FALSE	Giardia lamblia P15	
			FALSE	Glarea lozoyensis 74030	
			FALSE	Globodera pallida	
			FALSE	Glycine max Wm82.a2.	
			FALSE	Gremmeniella abietina	
			FALSE	Gremmeniella abietina DAOM 170408	
			FALSE	Grifola frondosa	
			FALSE	Hanseniaspora guilliermondii	
			FALSE	Hanseniaspora opuntiae	
			FALSE	Hanseniaspora osmophila	
			FALSE	Hanseniaspora uvarum	
			FALSE	Hanseniaspora uvarum DSM 2768	
			FALSE	Helianthus annuus	
			FALSE	Helianthus annuus r1.2	
			FALSE	Hepatospora eriocheir	
			FALSE	Heterobasidion irregulare TC 32-1	
			FALSE	Hexagonia nitida	
			FALSE	Hexagonia nitida CIRM-BRFM 1802	
			FALSE	Hirsutella minnesotensis 3608	
			FALSE	Histoplasma capsulatum G217B	
			FALSE	Histoplasma capsulatum H143	
			FALSE	Histoplasma capsulatum H88	
			FALSE	Hordeum vulgare r1	
			FALSE	Hortaea werneckii	
			FALSE	Hortaea werneckii EXF-2000 M0	
			FALSE	Hypsizygus marmoreus	
			FALSE	Ilyonectria europaea	
			FALSE	Ilyonectria europaea CBS 129078	
			FALSE	Irpex lacteus	
			FALSE	Irpex lacteus CCBAS Fr. 238 617/93	
			FALSE	Isaria fumosorosea ARSEF 2679	
			FALSE	Kalanchoe fedtschenkoi	
			FALSE	Kalanchoe laxiflora	
			FALSE	Kalmanozyma brasiliensis GHG001	
			FALSE	Kickxella alabastrina	
			FALSE	Kickxella alabastrina RSA 675	
			FALSE	Kluyveromyces marxianus	
			FALSE	Kluyveromyces marxianus DMKU3-1042	
			FALSE	Komagataella phaffii	
			FALSE	Komagataella phaffii CBS 7435	
			FALSE	Komagataella phaffii GS115	
			FALSE	Kwoniella bestiolae CBS 10118	
			FALSE	Kwoniella dejecticola CBS 10117	
			FALSE	Kwoniella heveanensis BCC8398	
			FALSE	Kwoniella heveanensis CBS 569	
			FALSE	Kwoniella mangroviensis CBS 10435	
			FALSE	Kwoniella mangroviensis CBS 8507	
			FALSE	Kwoniella mangroviensis CBS 8886	
			FALSE	Kwoniella pini CBS 10737	
			FALSE	Laccaria bicolor S238N-H82	
			FALSE	Lachancea dasiensis CBS 10888	
			FALSE	Lachancea fermentati	
			FALSE	Lachancea lanzarotensis	
			FALSE	Lachancea meyersii CBS 8951	
			FALSE	Lachancea mirantina	
			FALSE	Lachancea nothofagi CBS 11611	
			FALSE	Lachancea sp. CBS 6924	
			FALSE	Lactifluus subvellereus	
			FALSE	Lactifluus subvellereus BPL653	
			FALSE	Lactuca sativa	
			FALSE	Laetiporus sulphureus 93-53	
			FALSE	Lasiosphaeria miniovina SMH2392-1A	
			FALSE	Lasiosphaeria ovina CBS 958.72	
			FALSE	Lasiosphaeris hirsuta SMH4607-1	
			FALSE	Leiotrametes lactinea	
			FALSE	Leiotrametes lactinea CIRM-BRFM 1664	
			FALSE	Leiotrametes menziesii CIRM-BRFM 1781	
			FALSE	Leishmania aethiopica L147	
			FALSE	Leishmania braziliensis MHOM/BR/75/M2904	
			FALSE	Leishmania major strain LV39c5	
			FALSE	Leishmania major strain SD 75.1	
			FALSE	Leishmania panamensis MHOM/COL/81/L13	
			FALSE	Leishmania sp. MAR LEM2494	
			FALSE	Leishmania tropica L590	
			FALSE	Lentinula afn. lateritia sp2 HRB7682 ss15	
			FALSE	Lentinula edodes	
			FALSE	Lentinula edodes Le(Bin) 0899 ss11	
			FALSE	Lentinula lateritia RHP3577 ss4	
			FALSE	Lentinula raphanica INPA1701G ss19	
			FALSE	Lepeophtheirus salmonis	
			FALSE	Leptomonas pyrrhocoris	
			FALSE	Leucoagaricus sp. SymC.cos	
			FALSE	Lichtheimia ramosa	
			FALSE	Lingula anatina	
			FALSE	Lobaria pulmonaria	
			FALSE	Lobaria pulmonaria Scotland	
			FALSE	Lotharella oceanica	
			FALSE	Lucilia cuprina	
			FALSE	Lupinus angustifolius	
			FALSE	Macaca nemestrina	
			FALSE	Madurella mycetomatis	
			FALSE	Magnaporthe oryzae	
			FALSE	Magnaporthe oryzae 70-15	
			FALSE	Malassezia globosa CBS 7966	
			FALSE	Malassezia pachydermatis	
			FALSE	Mandrillus leucophaeus	
			FALSE	Marchantia polymorpha	
			FALSE	Marssonina brunnea f. sp. multigermtubi	
			FALSE	Mayetiola destructor	
			FALSE	Medicago truncatula Mt4.0	
			FALSE	Melampsora larici-populina 98AG31	
			FALSE	Melanospora tiffanyae	
			FALSE	Metarhizium album ARSEF 1941	
			FALSE	Metarhizium anisopliae	
			FALSE	Metarhizium anisopliae ARSEF 23	
			FALSE	Metarhizium anisopliae ARSEF 549	
			FALSE	Metarhizium anisopliae BRIP 53284	
			FALSE	Metarhizium anisopliae BRIP 53293	
			FALSE	Metarhizium brunneum ARSEF 3297	
			FALSE	Metarhizium guizhouense ARSEF 977	
			FALSE	Metarhizium majus ARSEF 297	
			FALSE	Metarhizium rileyi RCEF 4871	
			FALSE	Metarhizium robertsii ARSEF 23	
			FALSE	Metschnikowia bicuspidata	
			FALSE	Metschnikowia bicuspidata single-cell	
			FALSE	Metschnikowia fructicola 277	
			FALSE	Microdochium trichocladiopsis CBS 623.77	
			FALSE	Miscanthus sinensis	
			FALSE	Moesziomyces antarcticus	
			FALSE	Moesziomyces aphidis DSM 70725	
			FALSE	Moniliella sp. MCA 3643	
			FALSE	Moniliophthora roreri	
			FALSE	Moniliophthora roreri MCA 2997	
			FALSE	Monosiga brevicollis MX1	
			FALSE	Mucor ambiguus	
			FALSE	Mucor circinelloides	
			FALSE	Mucor circinelloides f. circinelloides 1006PhL	
			FALSE	Multifurca ochricompacta	
			FALSE	Multifurca ochricompacta BPL690	
			FALSE	Mus caroli	
			FALSE	Mus pahari	
			FALSE	Mus spretus	
			FALSE	Myceliophthora heterothallica CBS 202.75	
			FALSE	Mycena alexandri CBHHK200	
			FALSE	Mycena amicta BAPX	
			FALSE	Mycena belliae CBHHK173m	
			FALSE	Mycena capillaripes	
			FALSE	Mycena capillaripes Frankland 9286	
			FALSE	Mycena crocata CBHHK184	
			FALSE	Mycena epipterygia CBHHK145m	
			FALSE	Mycena filopes CBHHK001	
			FALSE	Mycena floridula CBHHK072	
			FALSE	Mycena haematopus	
			FALSE	Mycena haematopus CBHHK189	
			FALSE	Mycena rebaudengoi CBHHK068	
			FALSE	Mycena rosella	
			FALSE	Mycena rosella CBHHK067	
			FALSE	Mycena sanguinolenta CBHHK176m	
			FALSE	Mycena sp.	
			FALSE	Mycena sp. CBHHK59/15	
			FALSE	Mycena vitilis CBHHK169m	
			FALSE	Mycosphaerella eumusae	
			FALSE	Nadsonia fulvescens var. elongata	
			FALSE	Nakaseomyces bacillisporus CBS 7720	
			FALSE	Nakaseomyces delphensis CBS 2170	
			FALSE	Nannochloropsis gaditana CCMP526	
			FALSE	Nematocida sp. ERTm5	
			FALSE	Neolecta irregularis	
			FALSE	Neolecta irregularis DAH-1	
			FALSE	Neolecta irregularis DAH-3	
			FALSE	Neolentinus lepideus HHB14362 ss-1	
			FALSE	Neonectria ditissima	
			FALSE	Neonectria ditissima R09/05	
			FALSE	Neosartorya fischeri	
			FALSE	Neurospora hispaniola FGSC 10403	
			FALSE	Nicotiana attenuata str. UT	
			FALSE	Nosema ceranae BRL01	
			FALSE	Obelidium mucronatum JEL802	
			FALSE	Ochromonadaceae sp. CCMP2298	
			FALSE	Octopus bimaculoides	
			FALSE	Ogataea parapolymorpha DL-1	
			FALSE	Ogataea polymorpha	
			FALSE	Olea europaea var. sylvestris	
			FALSE	Oliveonia pauxilla KC1149	
			FALSE	Ophiocordyceps sinensis CO18	
			FALSE	Ophiocordyceps unilateralis	
			FALSE	Ophiostoma novo-ulmi subsp. novo-ulmi H327	
			FALSE	Ordospora colligata OC4	
			FALSE	Oropetium thomaeum	
			FALSE	Oryza longistaminata	
			FALSE	Oryza sativa Japonica	
			FALSE	Paecilomyces variotii CBS 101075	
			FALSE	Panaeolus papilionaceus	
			FALSE	Panaeolus papilionaceus CIRM-BRFM 715	
			FALSE	Paracoccidioides lutzii Pb01	
			FALSE	Paracoccidioides sp. 'lutzii' Pb01	
			FALSE	Paraphaeosphaeria sporulosa	
			FALSE	Paraphoma chrysanthemicola PD 92/468	
			FALSE	Paraphysoderma sedebokerense JEL821	
			FALSE	Paulinella chromatophora	
			FALSE	Pavlovales sp. CCMP2436	
			FALSE	Pelagophyceae sp. CCMP2097	
			FALSE	Penicilliopsis zonata CBS 506.65	
			FALSE	Penicillium antarcticum	
			FALSE	Penicillium antarcticum IBT 31811	
			FALSE	Penicillium arizonense	
			FALSE	Penicillium brasilianum	
			FALSE	Penicillium camemberti FM 013	
			FALSE	Penicillium coprophilum	
			FALSE	Penicillium coprophilum IBT 31321	
			FALSE	Penicillium decumbens	
			FALSE	Penicillium decumbens IBT 11843	
			FALSE	Penicillium digitatum Pd1	
			FALSE	Penicillium expansum	
			FALSE	Penicillium expansum d1	
			FALSE	Penicillium flavigenum	
			FALSE	Penicillium flavigenum IBT 14082	
			FALSE	Penicillium freii	
			FALSE	Penicillium griseofulvum	
			FALSE	Penicillium griseofulvum PG3	
			FALSE	Penicillium italicum	
			FALSE	Penicillium italicum PHI-1	
			FALSE	Penicillium nalgiovense	
			FALSE	Penicillium nalgiovense FM193	
			FALSE	Penicillium nordicum	
			FALSE	Penicillium polonicum	
			FALSE	Penicillium polonicum IBT 4502	
			FALSE	Penicillium roqueforti FM164	
			FALSE	Penicillium rubens Wisconsin 54-1255	
			FALSE	Penicillium solitum	
			FALSE	Penicillium solitum IBT 29525	
			FALSE	Penicillium steckii	
			FALSE	Penicillium steckii IBT 24891	
			FALSE	Penicillium swiecickii 182 6C1	
			FALSE	Penicillium vulpinum	
			FALSE	Penicillium vulpinum IBT 29486	
			FALSE	Peniophora sp. CONT	
			FALSE	Perkinsela sp CCAP 1560/4	
			FALSE	Pestalotiopsis fici W106-1	
			FALSE	Phaeoacremonium minimum UCRPA7	
			FALSE	Phaeoacremonium sp.	
			FALSE	Phaeoacremonium sp. FL0889	
			FALSE	Phanerochaete carnosa HHB-10118-Sp	
			FALSE	Phellinidium ferrugineofuscum	
			FALSE	Phellinus ferrugineofuscus SpK3Phefer14	
			FALSE	Phialocephala subalpina	
			FALSE	Phialophora attae	
			FALSE	Phialophora attae CBS 131958	
			FALSE	Phlebiopsis gigantea 11061_1 CR5-6	
			FALSE	Phycomyces nitens S607	
			FALSE	Phycomyces nitens S608	
			FALSE	Phycomyces nitens S609	
			FALSE	Phyllosticta capitalensis CBS 128856	
			FALSE	Phyllosticta citribraziliensis CBS 100098	
			FALSE	Phyllosticta citricarpa CBS 127454	
			FALSE	Phyllosticta citrichinaensis	
			FALSE	Phyllosticta citrichinaensis CBS 130529	
			FALSE	Phyllosticta sp. CPC 27169	
			FALSE	Phyllosticta sp. CPC 27913	
			FALSE	Phytomonas sp Isolate EM1	
			FALSE	Phytomonas sp Isolate Hart1	
			FALSE	Phytophthora nicotianae	
			FALSE	Phytophthora parasitica INRA-310	
			FALSE	Phytophthora parasitica P10297	
			FALSE	Phytophthora parasitica P1976	
			FALSE	Phytopythium vexans DAOM BR484	
			FALSE	Pichia kudriavzevii	
			FALSE	Pichia membranifaciens NRRL Y-2026	
			FALSE	Pilaira anomala	
			FALSE	Pilaira anomala RSA1997	
			FALSE	Pilobolus umbonatus	
			FALSE	Pilobolus umbonatus NRRL 6349	
			FALSE	Piptocephalis cylindrospora RSA 2659 single-cell	
			FALSE	Plasmodium coatneyi	
			FALSE	Plasmodium cynomolgi strain M	
			FALSE	Plasmodium falciparum 7G8	
			FALSE	Plasmodium falciparum CAMP/Malaysia	
			FALSE	Plasmodium falciparum Dd2	
			FALSE	Plasmodium falciparum FCH/4	
			FALSE	Plasmodium falciparum HB3	
			FALSE	Plasmodium falciparum IGH-CR14	
			FALSE	Plasmodium falciparum MaliPS096_E11	
			FALSE	Plasmodium falciparum NF135/5.C10	
			FALSE	Plasmodium falciparum NF54	
			FALSE	Plasmodium falciparum Palo Alto/Uganda	
			FALSE	Plasmodium falciparum RAJ116	
			FALSE	Plasmodium falciparum Santa Lucia	
			FALSE	Plasmodium falciparum Tanzania (2000708)	
			FALSE	Plasmodium falciparum UGT5_1	
			FALSE	Plasmodium falciparum Vietnam Oak-Knoll (FVO)	
			FALSE	Plasmodium fragile	
			FALSE	Plasmodium gaboni	
			FALSE	Plasmodium malariae	
			FALSE	Plasmodium ovale curtisi	
			FALSE	Plasmodium ovale wallikeri	
			FALSE	Plasmodium vivax Brazil I	
			FALSE	Plasmodium vivax India VII	
			FALSE	Plasmodium vivax Mauritania I	
			FALSE	Plasmodium vivax North Korean	
			FALSE	Plasmodium vivax Sal-1	
			FALSE	Plasmodium yoelii 17X	
			FALSE	Plasmodium yoelii yoelii	
			FALSE	Plasmodium yoelii yoelii 17XNL	
			FALSE	Plasmopara halstedii	
			FALSE	Plectosphaerella cucumerina RP01	
			FALSE	Pneumocystis carinii B80	
			FALSE	Pneumocystis jirovecii RU7	
			FALSE	Pneumocystis jirovecii SE8	
			FALSE	Pochonia chlamydosporia 170	
			FALSE	Podospora didyma CBS 232.78	
			FALSE	Polyporus squamosus CCBS 676	
			FALSE	Populus deltoides WV94	
			FALSE	Porphyra umbilicalis	
			FALSE	Propithecus coquereli	
			FALSE	Pseudocercospora fijiensis CIRAD86	
			FALSE	Pseudocercospora musae	
			FALSE	Pseudocohnilembus persalinus	
			FALSE	Pseudogymnoascus sp. 03VT05	
			FALSE	Pseudogymnoascus sp. 05NY08	
			FALSE	Pseudogymnoascus sp. 23342-1-I1	
			FALSE	Pseudogymnoascus sp. 24MN13	
			FALSE	Pseudogymnoascus sp. VKM F-103	
			FALSE	Pseudogymnoascus sp. VKM F-3557	
			FALSE	Pseudogymnoascus sp. VKM F-3775	
			FALSE	Pseudogymnoascus sp. VKM F-3808	
			FALSE	Pseudogymnoascus sp. VKM F-4246	
			FALSE	Pseudogymnoascus sp. VKM F-4281 (FW-2241)	
			FALSE	Pseudogymnoascus sp. VKM F-4513 (FW-928)	
			FALSE	Pseudogymnoascus sp. VKM F-4514 (FW-929)	
			FALSE	Pseudogymnoascus sp. VKM F-4515 (FW-2607)	
			FALSE	Pseudogymnoascus sp. VKM F-4516 (FW-969)	
			FALSE	Pseudogymnoascus sp. VKM F-4517 (FW-2822)	
			FALSE	Pseudogymnoascus sp. VKM F-4518 (FW-2643)	
			FALSE	Pseudogymnoascus sp. VKM F-4519 (FW-2642)	
			FALSE	Pseudogymnoascus sp. VKM F-4520 (FW-2644)	
			FALSE	Pseudogymnoascus sp. WSF 3629	
			FALSE	Pseudogymnoascus verrucosus	
			FALSE	Pseudoloma neurophilia	
			FALSE	Pseudomicrostroma glucosiphilum gen et sp. nov. MCA 4718	
			FALSE	Puccinia coronata avenae 12NC29	
			FALSE	Puccinia coronata avenae 12SD80	
			FALSE	Puccinia graminis f. sp. Tritici CRL 75-36-700-3	
			FALSE	Puccinia graminis Ug99	
			FALSE	Puccinia sorghi	
			FALSE	Puccinia striiformis f. sp. tritici PST-78	
			FALSE	Puccinia triticina 1-1 BBBD Race 1	
			FALSE	Punctularia strigosozonata HHB-11173 SS5	
			FALSE	Purpureocillium lilacinum	
			FALSE	Pyrenochaeta lycopersici	
			FALSE	Pyrenochaeta lycopersici ISPaVe ER 1252	
			FALSE	Pyrenochaeta sp.	
			FALSE	Pyronema omphalodes CBS 100304	
			FALSE	Rachicladosporium antarcticum	
			FALSE	Rhinocladiella mackenziei CBS 650.93	
			FALSE	Rhinopithecus bieti	
			FALSE	Rhizoctonia solani	
			FALSE	Rhizoctonia solani 123E	
			FALSE	Rhizoctonia solani AG-1 IA	
			FALSE	Rhizoctonia solani AG-3 Rhs1AP	
			FALSE	Rhizoctonia solani AG-8 WAC10335	
			FALSE	Rhizophagus irregularis A1	
			FALSE	Rhizophagus irregularis A4	
			FALSE	Rhizophagus irregularis A5	
			FALSE	Rhizophagus irregularis B3	
			FALSE	Rhizophagus irregularis C2	
			FALSE	Rhizophagus irregularis DAOM 197198	
			FALSE	Rhizophagus irregularis DAOM 197198w	
			FALSE	Rhizopogon vesiculosus	
			FALSE	Rhizopogon vesiculosus Smith	
			FALSE	Rhodofomes roseus CIRM-BRFM 1785	
			FALSE	Rhodosporidium toruloides ATCC26217	
			FALSE	Rhodotorula glutinis	
			FALSE	Rhodotorula mucilaginosa	
			FALSE	Rhodotorula mucilaginosa ATCC58901	
			FALSE	Rhodotorula sp.	
			FALSE	Rhodotorula sp. J31	
			FALSE	Rhodotorula toruloides ATCC 204091	
			FALSE	Rhynchosporium agropyri	
			FALSE	Rhynchosporium commune	
			FALSE	Rhynchosporium secalis	
			FALSE	Rigidoporus microporus	
			FALSE	Rigidoporus microporus ED310	
			FALSE	Rozella allomycis CSF55 single-cell	
			FALSE	Russula compacta	
			FALSE	Russula compacta BPL669	
			FALSE	Russula vinacea	
			FALSE	Russula vinacea BPL710	
			FALSE	Saccharomyces cerevisiae	
			FALSE	Saccharomyces cerevisiae AWRI796	
			FALSE	Saccharomyces cerevisiae CEN.PK113-7D	
			FALSE	Saccharomyces cerevisiae EC1118	
			FALSE	Saccharomyces cerevisiae FostersB	
			FALSE	Saccharomyces cerevisiae FostersO	
			FALSE	Saccharomyces cerevisiae Kyokai no. 7	
			FALSE	Saccharomyces cerevisiae Lalvin QA23	
			FALSE	Saccharomyces cerevisiae P283	
			FALSE	Saccharomyces cerevisiae P301	
			FALSE	Saccharomyces cerevisiae R008	
			FALSE	Saccharomyces cerevisiae R103	
			FALSE	Saccharomyces cerevisiae RM11-1a	
			FALSE	Saccharomyces cerevisiae Vin13	
			FALSE	Saccharomyces cerevisiae VL3	
			FALSE	Saccharomyces cerevisiae x Saccharomyces kudriavzevii VIN7	
			FALSE	Saccharomyces cerevisiae YJM1078	
			FALSE	Saccharomyces cerevisiae YJM1083	
			FALSE	Saccharomyces cerevisiae YJM1129	
			FALSE	Saccharomyces cerevisiae YJM1133	
			FALSE	Saccharomyces cerevisiae YJM1190	
			FALSE	Saccharomyces cerevisiae YJM1199	
			FALSE	Saccharomyces cerevisiae YJM1202	
			FALSE	Saccharomyces cerevisiae YJM1208	
			FALSE	Saccharomyces cerevisiae YJM1242	
			FALSE	Saccharomyces cerevisiae YJM1244	
			FALSE	Saccharomyces cerevisiae YJM1248	
			FALSE	Saccharomyces cerevisiae YJM1250	
			FALSE	Saccharomyces cerevisiae YJM1252	
			FALSE	Saccharomyces cerevisiae YJM1273	
			FALSE	Saccharomyces cerevisiae YJM1304	
			FALSE	Saccharomyces cerevisiae YJM1307	
			FALSE	Saccharomyces cerevisiae YJM1311	
			FALSE	Saccharomyces cerevisiae YJM1326	
			FALSE	Saccharomyces cerevisiae YJM1332	
			FALSE	Saccharomyces cerevisiae YJM1336	
			FALSE	Saccharomyces cerevisiae YJM1338	
			FALSE	Saccharomyces cerevisiae YJM1341	
			FALSE	Saccharomyces cerevisiae YJM1342	
			FALSE	Saccharomyces cerevisiae YJM1355	
			FALSE	Saccharomyces cerevisiae YJM1356	
			FALSE	Saccharomyces cerevisiae YJM1381	
			FALSE	Saccharomyces cerevisiae YJM1383	
			FALSE	Saccharomyces cerevisiae YJM1385	
			FALSE	Saccharomyces cerevisiae YJM1386	
			FALSE	Saccharomyces cerevisiae YJM1387	
			FALSE	Saccharomyces cerevisiae YJM1388	
			FALSE	Saccharomyces cerevisiae YJM1389	
			FALSE	Saccharomyces cerevisiae YJM1399	
			FALSE	Saccharomyces cerevisiae YJM1400	
			FALSE	Saccharomyces cerevisiae YJM1401	
			FALSE	Saccharomyces cerevisiae YJM1402	
			FALSE	Saccharomyces cerevisiae YJM1415	
			FALSE	Saccharomyces cerevisiae YJM1417	
			FALSE	Saccharomyces cerevisiae YJM1418	
			FALSE	Saccharomyces cerevisiae YJM1419	
			FALSE	Saccharomyces cerevisiae YJM1433	
			FALSE	Saccharomyces cerevisiae YJM1434	
			FALSE	Saccharomyces cerevisiae YJM1439	
			FALSE	Saccharomyces cerevisiae YJM1443	
			FALSE	Saccharomyces cerevisiae YJM1444	
			FALSE	Saccharomyces cerevisiae YJM1447	
			FALSE	Saccharomyces cerevisiae YJM1450	
			FALSE	Saccharomyces cerevisiae YJM1460	
			FALSE	Saccharomyces cerevisiae YJM1463	
			FALSE	Saccharomyces cerevisiae YJM1477	
			FALSE	Saccharomyces cerevisiae YJM1478	
			FALSE	Saccharomyces cerevisiae YJM1479	
			FALSE	Saccharomyces cerevisiae YJM1526	
			FALSE	Saccharomyces cerevisiae YJM1527	
			FALSE	Saccharomyces cerevisiae YJM1549	
			FALSE	Saccharomyces cerevisiae YJM1573	
			FALSE	Saccharomyces cerevisiae YJM1574	
			FALSE	Saccharomyces cerevisiae YJM1592	
			FALSE	Saccharomyces cerevisiae YJM1615	
			FALSE	Saccharomyces cerevisiae YJM189	
			FALSE	Saccharomyces cerevisiae YJM193	
			FALSE	Saccharomyces cerevisiae YJM195	
			FALSE	Saccharomyces cerevisiae YJM244	
			FALSE	Saccharomyces cerevisiae YJM248	
			FALSE	Saccharomyces cerevisiae YJM270	
			FALSE	Saccharomyces cerevisiae YJM271	
			FALSE	Saccharomyces cerevisiae YJM320	
			FALSE	Saccharomyces cerevisiae YJM326	
			FALSE	Saccharomyces cerevisiae YJM428	
			FALSE	Saccharomyces cerevisiae YJM450	
			FALSE	Saccharomyces cerevisiae YJM451	
			FALSE	Saccharomyces cerevisiae YJM453	
			FALSE	Saccharomyces cerevisiae YJM456	
			FALSE	Saccharomyces cerevisiae YJM470	
			FALSE	Saccharomyces cerevisiae YJM541	
			FALSE	Saccharomyces cerevisiae YJM554	
			FALSE	Saccharomyces cerevisiae YJM555	
			FALSE	Saccharomyces cerevisiae YJM627	
			FALSE	Saccharomyces cerevisiae YJM681	
			FALSE	Saccharomyces cerevisiae YJM682	
			FALSE	Saccharomyces cerevisiae YJM683	
			FALSE	Saccharomyces cerevisiae YJM689	
			FALSE	Saccharomyces cerevisiae YJM693	
			FALSE	Saccharomyces cerevisiae YJM789	
			FALSE	Saccharomyces cerevisiae YJM969	
			FALSE	Saccharomyces cerevisiae YJM972	
			FALSE	Saccharomyces cerevisiae YJM975	
			FALSE	Saccharomyces cerevisiae YJM978	
			FALSE	Saccharomyces cerevisiae YJM981	
			FALSE	Saccharomyces cerevisiae YJM984	
			FALSE	Saccharomyces cerevisiae YJM987	
			FALSE	Saccharomyces cerevisiae YJM990	
			FALSE	Saccharomyces cerevisiae YJM993	
			FALSE	Saccharomyces cerevisiae YJM996	
			FALSE	Saccharomyces eubayanus	
			FALSE	Saccharomyces sp. 'boulardii'	
			FALSE	Saccharomycetaceae sp.	
			FALSE	Saksenaea vasiformis B4078	
			FALSE	Sarcoptes scabiei	
			FALSE	Scedosporium apiospermum	
			FALSE	Scheffersomyces stipitis CBS 6054	
			FALSE	Schizothecium vesticola	
			FALSE	Schizothecium vesticola SMH3187-1	
			FALSE	Sclerophora sanguinea	
			FALSE	Sclerophora sanguinea CBS100924	
			FALSE	Sclerotinia borealis F-4128	
			FALSE	Sclerotinia sclerotiorum 1980 UF-70	
			FALSE	Sebacina vermifera	
			FALSE	Serendipita indica DSM 11827	
			FALSE	Serendipita sp. 407	
			FALSE	Setaria viridis	
			FALSE	Smittium culicis GSMNP	
			FALSE	Smittium culicis ID-206-W2	
			FALSE	Smittium mucronatum	
			FALSE	Smittium mucronatum ALG-7-W6	
			FALSE	Sordaria brevicollis FGSC1904	
			FALSE	Sordaria macrospora k-hell	
			FALSE	Spathaspora passalidarum NRRL Y-27907	
			FALSE	Sphaerobolus stellatus SS14	
			FALSE	Sphaerulina musiva SO2202	
			FALSE	Sphagnum fallax	
			FALSE	Sporisorium reilianum	
			FALSE	Sporodiniella umbellata	
			FALSE	Sporodiniella umbellata MES 1446	
			FALSE	Sporothrix brasiliensis 5110	
			FALSE	Sporothrix insectorum RCEF 264	
			FALSE	Sporothrix schenckii ATCC 58251	
			FALSE	Stachybotrys chartarum IBT 40288	
			FALSE	Stachybotrys chartarum IBT 40293	
			FALSE	Stachybotrys chartarum IBT 7711	
			FALSE	Stachybotrys chlorohalonata IBT 40285	
