Aspcl1_GeneCatalog_proteins_20120815.aa.fasta	344612	DNA		22080559
Aspcos1_GeneCatalog_proteins_20141208.aa.fasta	1448317	DNA	v1.0	
Aspcri1_GeneCatalog_proteins_20170529.aa.fasta	573508	DNA		27267057
Aspdese1_GeneCatalog_proteins_20160412.aa.fasta	1810909	DNA	v1.0	
Aspell1_GeneCatalog_proteins_20140716.aa.fasta	1448320	DNA	v1.0	
Aspeuc1_GeneCatalog_proteins_20140626.aa.fasta	1448314	DNA	v1.0	
Aspfij1_GeneCatalog_proteins_20141130.aa.fasta	1448319	DNA	v1.0	
Aspfili1_GeneCatalog_proteins_20160412.aa.fasta	447248	DNA	v1.0	
Aspfl1_GeneCatalog_proteins_20121018.aa.fasta	332952	DNA		22080559
Aspfo1_GeneCatalog_proteins_20120615.aa.fasta	1137211	DNA	v1.0	28196534
Aspfu_A1163_1_GeneCatalog_proteins_20140107.aa.fasta	451804	DNA		18404212
Aspfu1_GeneCatalog_proteins_20120808.aa.fasta	330879	DNA		16372009
Aspfuni1_GeneCatalog_proteins_20160414.aa.fasta	176168	DNA	v1.0	
Aspgl1_GeneCatalog_proteins_20121005.aa.fasta	41413	DNA	v1.0	28196534
Asphet1_GeneCatalog_proteins_20140624.aa.fasta	1448321	DNA	v1.0	
Asphom1_GeneCatalog_proteins_20140716.aa.fasta	1450537	DNA	v1.0	
Aspibe1_GeneCatalog_proteins_20141129.aa.fasta	1448316	DNA	v1.0	
Aspind1_GeneCatalog_proteins_20140718.aa.fasta	1450541	DNA	v1.0	
Aspind2_1_GeneCatalog_proteins_20160309.aa.fasta	138288	DNA		
Aspinso1_GeneCatalog_proteins_20160413.aa.fasta	1131488	DNA	v1.0	
Aspjap1_GeneCatalog_proteins_20141201.aa.fasta	1448312	DNA	v1.0	
Aspka1_1_GeneCatalog_proteins_20140116.aa.fasta	1033177	DNA		22045919
Asplac1_GeneCatalog_proteins_20140612.aa.fasta	1450533	DNA	v1.0	
Aspmul1_1_GeneCatalog_proteins_20160309.aa.fasta	41759	DNA		
