Name		OLD JGI ID	OLD NCBI Tax ID	JGI ID	Version	Publication	Portal Link
Nia vibrissa CBS 119815	FALSE			Niavib1	v1.0		https://mycocosm.jgi.doe.gov/Niavib1
Nemania serpens AK0226	FALSE			NsAK0226_1	v1.0		https://mycocosm.jgi.doe.gov/NsAK0226_1
Nemania serpens AZ0576	FALSE			NsAZ0576_1	v1.0		https://mycocosm.jgi.doe.gov/NsAZ0576_1
Nemania serpens CBS 679.86	FALSE			NsCB679_1	v1.0		https://mycocosm.jgi.doe.gov/NsCB679_1
Paecilomyces variotii CBS144490 HYG1	FALSE			Paevar_HGY_1	v1.0	30619145	https://mycocosm.jgi.doe.gov/Paevar_HGY_1
Paecilomyces variotii CBS 101075	FALSE			Paevar1	v1.0	30619145	https://mycocosm.jgi.doe.gov/Paevar1
Papiliotrema laurentii 5307AH	FALSE			Papla1	v1.0		https://mycocosm.jgi.doe.gov/Papla1
Paraphoma chrysanthemicola MPI-SDFR-AT-0120	FALSE			Parchr1	v1.0		https://mycocosm.jgi.doe.gov/Parchr1
Penicillium atramentosum RS17	FALSE			Penatra1	v1.0		https://mycocosm.jgi.doe.gov/Penatra1
Penicillium nordicum DAOMC 185683	FALSE			Pennord1		26734552	https://mycocosm.jgi.doe.gov/Pennord1
Penicillium solitum IBT 30036	FALSE			Pensoli1	v1.0		https://mycocosm.jgi.doe.gov/Pensoli1
Pestalotiopsis sp. NC0098	FALSE			Pestal1	v1.0		https://mycocosm.jgi.doe.gov/Pestal1
Peterozyma xylosa NRRL Y-12939	FALSE			Petxy1		29760453	https://mycocosm.jgi.doe.gov/Petxy1
Tricharina aff. praecox DOB1048	FALSE			Pezsub1	v1.0		https://mycocosm.jgi.doe.gov/Pezsub1
Phaeosolenia platensis CBS 268.64	FALSE			Phapla1	v1.0		https://mycocosm.jgi.doe.gov/Phapla1
Phlebia radiata Fr. (isolate 79, FBCC0043)	FALSE			Phlrad1		27602055	https://mycocosm.jgi.doe.gov/Phlrad1
Phoma multirostrata 7a	FALSE			Phomu1	v1.0		https://mycocosm.jgi.doe.gov/Phomu1
Phycomyces blakesleeanus UBC1	FALSE			Phybla1	v1.0		https://mycocosm.jgi.doe.gov/Phybla1
Pichia kudriavzevii CBS573	FALSE			Pickud1		30024981	https://mycocosm.jgi.doe.gov/Pickud1
Phlebopus sp. FC_14	FALSE			Pis20_1	v1.0		https://mycocosm.jgi.doe.gov/Pis20_1
Pisolithus albus SI12	FALSE			Pisalb1	v1.0		https://mycocosm.jgi.doe.gov/Pisalb1
Pisolithus croceorrhizus subspA 74A	FALSE			Piscro1	v1.0		https://mycocosm.jgi.doe.gov/Piscro1
Pisolithus marmoratus ssp. 2 16A	FALSE			Pismar1	v1.0		https://mycocosm.jgi.doe.gov/Pismar1
Pisolithus thermaeus 11	FALSE			Pisthe1	v1.0		https://mycocosm.jgi.doe.gov/Pisthe1
Pisolithus croceorrhizus ssp. 2 72	FALSE			Pisthe227_1	v1.0		https://mycocosm.jgi.doe.gov/Pisthe227_1
Pleospora avicennia ATCC 66911	FALSE			Pleav1	v1.0		https://mycocosm.jgi.doe.gov/Pleav1
Xylariales sp. AK1849	FALSE			Plecto1	v1.0		https://mycocosm.jgi.doe.gov/Plecto1
Plectosphaerella cucumerina RP01	FALSE			Plecuc1	v1.0		https://mycocosm.jgi.doe.gov/Plecuc1
Plectosphaerella cucumerina MPI-SDFR-AT-0117	FALSE	Plecuc1	40658	Plecucu1	v1.0		https://mycocosm.jgi.doe.gov/Plecucu1
Phycomyces nitens S608	FALSE			PnitS608_1	v1.0		https://mycocosm.jgi.doe.gov/PnitS608_1
Phycomyces nitens S609	FALSE			PnitS609_1	v1.0		https://mycocosm.jgi.doe.gov/PnitS609_1
Podospora anserina mat+	FALSE			Podans1	v1.0		https://mycocosm.jgi.doe.gov/Podans1
Podospora appendiculata CBS 314.62	FALSE			Podap1	v1.0		https://mycocosm.jgi.doe.gov/Podap1
Porpomyces mucidus OMC1666	FALSE			Pormuc1	v1.0		https://mycocosm.jgi.doe.gov/Pormuc1
Postia stiptica OMC1664	FALSE			Possti1	v1.0		https://mycocosm.jgi.doe.gov/Possti1
Powellomyces hirtus BR81	FALSE			Powhir1	v1.0		https://mycocosm.jgi.doe.gov/Powhir1
Psilocybe serbica	FALSE			Psiser1	v1.0	28763571	https://mycocosm.jgi.doe.gov/Psiser1
Puccinia coronata avenae 12SD80	FALSE			PuccoSD80_1		28846186	https://mycocosm.jgi.doe.gov/PuccoSD80_1
Puccinia striiformis f. sp. tritici 104 E137 A-	FALSE			Pucstr1		29463659	https://mycocosm.jgi.doe.gov/Pucstr1
Pyronema domesticum DOB7353	FALSE			Pyrdom1	v1.0		https://mycocosm.jgi.doe.gov/Pyrdom1
Pyronema omphalodes DOB1672	FALSE			Pyrom1	v1.0		https://mycocosm.jgi.doe.gov/Pyrom1
Radulomyces confluens OMC1631	FALSE			Radcon1	v1.0		https://mycocosm.jgi.doe.gov/Radcon1
